,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
1,1,RespITI,3,2,0,0,0,0,0,0,1,3,OFN,3,3,n,n,0,1250,3,0,1
2,2,Resp,3,3,1,1,0,0,1,0,1,1,YFN,1,1,v,m,0,1054,2,0,1
3,3,Resp,3,4,2,2,0,1,1,0,1,2,YMN,2,4,m,v,0,1085,2,0,1
4,4,Resp,3,5,3,3,0,1,1,0,2,3,OFN,3,3,n,b,0,1014,2,0,1
5,5,Resp,3,6,4,4,0,2,1,0,2,2,YMN,2,4,m,m,1,1057,1,1,1
6,6,Resp,3,7,5,5,0,2,2,0,2,1,YFN,1,1,v,v,1,643,1,2,1
7,7,Resp,3,8,6,6,0,2,2,0,3,3,OFN,3,3,n,b,0,896,2,2,1
8,8,Resp,3,9,7,7,0,2,3,0,3,1,YFN,1,1,v,v,1,881,1,3,1
9,9,Resp,3,10,8,8,0,2,3,1,3,4,OMN,4,2,b,b,1,740,1,4,1
10,10,Resp,3,11,9,9,0,2,4,1,3,1,YFN,1,1,v,v,1,855,1,5,1
11,11,Resp,3,12,10,10,0,2,4,2,3,4,OMN,4,2,b,b,1,543,1,6,1
12,12,Resp,3,13,11,11,0,2,4,3,3,4,OMN,4,2,b,b,1,646,1,7,1
13,13,Resp,3,14,12,12,0,2,4,4,3,4,OMN,4,2,b,b,1,587,1,8,1
14,14,Resp,3,15,13,13,0,2,4,4,4,3,OFN,3,3,n,n,1,774,1,9,1
15,15,Resp,3,16,14,14,0,2,4,4,5,3,OFN,3,3,n,n,1,937,1,10,1
16,16,Resp,3,17,15,15,0,2,5,4,5,1,YFN,1,1,v,v,1,980,1,11,1
17,17,Resp,3,18,16,16,0,2,6,4,5,1,YFN,1,1,v,v,1,640,1,12,1
18,18,Resp,3,19,17,17,0,2,6,5,5,4,OMN,4,2,b,b,1,858,1,13,1
19,19,Resp,3,20,18,18,0,2,6,5,6,3,OFN,3,3,n,n,1,751,1,14,1
20,20,Resp,3,21,19,19,0,2,6,6,6,4,OMN,4,2,b,b,1,615,1,15,1
21,21,Resp,3,22,20,20,0,2,6,6,7,3,OFN,3,3,n,n,1,682,1,16,1
22,22,Resp,3,23,21,21,0,2,6,7,7,4,OMN,4,2,b,b,1,644,1,17,1
23,23,Resp,3,24,22,22,0,2,7,7,7,1,YFN,1,1,v,v,1,633,1,18,1
24,24,Resp,3,25,23,23,0,3,7,7,7,2,YMN,2,4,m,m,1,849,1,19,1
25,25,Resp,3,26,24,24,0,3,7,8,7,4,OMN,4,2,b,b,1,740,1,20,1
26,26,Resp,3,27,25,25,0,3,8,8,7,1,YFN,1,1,v,n,0,553,2,20,1
27,27,Resp,3,28,26,26,0,3,9,8,7,1,YFN,1,1,v,v,1,613,1,21,1
28,28,Resp,3,29,27,27,0,3,10,8,7,1,YFN,1,1,v,v,1,589,1,22,1
29,29,Resp,3,30,28,28,0,3,10,9,7,4,OMN,4,2,b,b,1,834,1,23,1
30,30,Resp,3,31,29,29,0,4,10,9,7,2,YMN,2,4,m,m,1,1068,1,24,1
31,31,Resp,3,32,30,30,0,5,10,9,7,2,YMN,2,4,m,m,1,698,1,25,1
32,32,Resp,3,33,31,31,0,5,10,9,8,3,OFN,3,3,n,n,1,1165,1,26,1
33,33,Resp,3,34,32,32,0,5,11,9,8,1,YFN,1,1,v,v,1,738,1,27,1
34,34,Resp,3,35,33,33,0,5,12,9,8,1,YFN,1,1,v,v,1,989,1,28,1
35,35,Resp,3,36,34,34,0,6,12,9,8,2,YMN,2,4,m,m,1,724,1,29,1
36,36,Resp,3,37,35,35,0,6,12,9,9,3,OFN,3,3,n,n,1,517,1,30,1
37,37,Resp,3,38,36,36,0,7,12,9,9,2,YMN,2,4,m,m,1,841,1,31,1
38,38,Resp,3,39,37,37,0,8,12,9,9,2,YMN,2,4,m,m,1,734,1,32,1
39,39,Resp,3,40,38,38,0,9,12,9,9,2,YMN,2,4,m,m,1,625,1,33,1
40,40,Resp,3,41,39,39,0,9,12,9,10,3,OFN,3,3,n,n,1,1017,1,34,1
41,41,Resp,3,42,40,40,0,9,12,9,11,3,OFN,3,3,n,n,1,470,1,35,1
42,42,Resp,3,43,41,41,0,9,12,10,11,4,OMN,4,2,b,b,1,515,1,36,1
43,43,Resp,3,44,42,42,0,9,13,10,11,1,YFN,1,1,v,v,1,722,1,37,1
44,44,Resp,3,45,43,43,0,10,13,10,11,2,YMN,2,4,m,m,1,1084,1,38,1
45,45,Resp,3,46,44,44,0,11,13,10,11,2,YMN,2,4,m,m,1,608,1,39,1
46,46,Resp,3,47,45,45,0,12,13,10,11,2,YMN,2,4,m,m,1,586,1,40,1
47,47,Resp,3,48,46,46,0,12,13,11,11,4,OMN,4,2,b,b,1,1243,1,41,1
48,48,Resp,3,49,47,47,0,12,13,12,11,4,OMN,4,2,b,b,1,642,1,42,1
49,49,Resp,3,50,48,48,0,12,13,13,11,4,OMN,4,2,b,b,1,483,1,43,1
50,50,Resp,3,51,49,49,0,12,14,13,11,1,YFN,1,1,v,v,1,696,1,44,1
51,51,Resp,3,52,50,50,0,12,15,13,11,1,YFN,1,1,v,v,1,621,1,45,1
52,52,Resp,3,53,51,51,0,12,15,13,12,3,OFN,3,3,n,b,0,743,2,45,1
53,53,Resp,3,54,52,52,0,12,15,14,12,4,OMN,4,2,b,b,1,658,1,46,1
54,54,Resp,3,55,53,53,0,13,15,14,12,2,YMN,2,4,m,m,1,805,1,47,1
55,55,Resp,3,56,54,54,0,13,15,14,13,3,OFN,3,3,n,n,1,859,1,48,1
56,56,Resp,3,57,55,55,0,13,16,14,13,1,YFN,1,1,v,v,1,918,1,49,1
57,57,Resp,3,58,56,56,0,13,17,14,13,1,YFN,1,1,v,v,1,562,1,50,1
58,58,Resp,3,59,57,57,0,13,17,14,14,3,OFN,3,3,n,n,1,1141,1,51,1
59,59,Resp,3,60,58,58,0,13,17,14,15,3,OFN,3,3,n,n,1,624,1,52,1
60,60,Resp,3,61,59,59,0,14,17,14,15,2,YMN,2,4,m,m,1,818,1,53,1
61,61,Resp,3,62,60,60,0,15,17,14,15,2,YMN,2,4,m,m,1,539,1,54,1
62,62,Resp,3,63,61,61,0,15,17,15,15,4,OMN,4,2,b,n,0,1150,2,54,1
63,63,Resp,3,64,62,62,0,16,17,15,15,2,YMN,2,4,m,m,1,661,1,55,1
64,64,Resp,3,65,63,63,0,16,17,16,15,4,OMN,4,2,b,b,1,854,1,56,1
65,65,Resp,3,66,64,64,0,17,17,16,15,2,YMN,2,4,m,v,0,721,2,56,1
66,66,Resp,3,67,65,65,0,17,18,16,15,1,YFN,1,1,v,v,1,630,1,57,1
67,67,Resp,3,68,66,66,0,17,18,16,16,3,OFN,3,3,n,n,1,1075,1,58,1
68,68,Resp,3,69,67,67,0,18,18,16,16,2,YMN,2,4,m,m,1,869,1,59,1
69,69,Resp,3,70,68,68,0,18,18,16,17,3,OFN,3,3,n,n,1,770,1,60,1
70,70,Resp,3,71,69,69,0,18,19,16,17,1,YFN,1,1,v,v,1,773,1,61,1
71,71,Resp,3,72,70,70,0,18,20,16,17,1,YFN,1,1,v,v,1,603,1,62,1
72,72,Resp,3,73,71,71,0,18,20,16,18,3,OFN,3,3,n,n,1,844,1,63,1
73,73,Resp,3,74,72,72,0,18,20,17,18,4,OMN,4,2,b,b,1,639,1,64,1
74,74,Resp,3,75,73,73,0,19,20,17,18,2,YMN,2,4,m,m,1,748,1,65,1
75,75,Resp,3,76,74,74,0,20,20,17,18,2,YMN,2,4,m,m,1,529,1,66,1
76,76,Resp,3,77,75,75,0,21,20,17,18,2,YMN,2,4,m,m,1,516,1,67,1
77,77,Resp,3,78,76,76,0,22,20,17,18,2,YMN,2,4,m,m,1,471,1,68,1
78,78,Resp,3,79,77,77,0,23,20,17,18,2,YMN,2,4,m,m,1,779,1,69,1
79,79,Resp,3,80,78,78,0,23,20,18,18,4,OMN,4,2,b,b,1,729,1,70,1
80,80,Resp,3,81,79,79,0,23,20,19,18,4,OMN,4,2,b,b,1,553,1,71,1
81,81,Resp,3,82,80,80,0,23,21,19,18,1,YFN,1,1,v,v,1,724,1,72,1
82,82,Resp,3,83,81,81,0,23,21,19,19,3,OFN,3,3,n,n,1,845,1,73,1
83,83,Resp,3,84,82,82,0,23,22,19,19,1,YFN,1,1,v,v,1,675,1,74,1
84,84,Resp,3,85,83,83,0,23,23,19,19,1,YFN,1,1,v,v,1,578,1,75,1
85,85,Resp,3,86,84,84,0,23,23,19,20,3,OFN,3,3,n,n,1,742,1,76,1
86,86,Resp,3,87,85,85,0,23,23,19,21,3,OFN,3,3,n,n,1,512,1,77,1
87,87,Resp,3,88,86,86,0,23,23,20,21,4,OMN,4,2,b,b,1,783,1,78,1
88,88,Resp,3,89,87,87,0,23,23,21,21,4,OMN,4,2,b,b,1,624,1,79,1
89,89,Resp,3,90,88,88,0,23,24,21,21,1,YFN,1,1,v,v,1,658,1,80,1
90,90,Resp,3,91,89,89,0,24,24,21,21,2,YMN,2,4,m,m,1,870,1,81,1
91,91,Resp,3,92,90,90,0,24,24,21,22,3,OFN,3,3,n,n,1,838,1,82,1
92,92,Resp,3,93,91,91,0,24,24,21,23,3,OFN,3,3,n,n,1,591,1,83,1
93,93,Resp,3,94,92,92,0,24,24,22,23,4,OMN,4,2,b,b,1,563,1,84,1
94,94,Resp,3,95,93,93,0,24,25,22,23,1,YFN,1,1,v,v,1,611,1,85,1
95,95,Resp,3,96,94,94,0,24,25,23,23,4,OMN,4,2,b,b,1,725,1,86,1
96,96,Resp,3,97,95,95,0,24,25,23,24,3,OFN,3,3,n,n,1,647,1,87,1
