,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
0,1,MemResp,3,1,0,0,0,YM,1,1,9,0,0,0,0,1,0,0,0,a,1,0,1,0,0,877,1
1,2,MemResp,3,2,1,1,0,YF,2,1,10,0,0,0,0,1,1,0,0,l,1,0,0,1,0,1316,1
2,3,MemResp,3,3,2,2,0,YF,2,1,2,0,1,0,0,1,1,0,0,a,2,1,0,0,0,672,1
3,4,MemResp,3,4,3,3,0,YF,2,1,10,0,1,0,0,1,2,0,0,s,1,0,1,0,0,549,1
4,5,MemResp,3,5,4,4,0,OM,1,2,3,0,1,1,0,1,2,0,0,l,2,0,0,0,1,1355,1
5,6,MemResp,3,6,5,5,0,OM,1,2,3,0,1,2,0,1,2,0,0,a,2,1,0,0,0,1090,1
6,7,MemResp,3,7,6,6,0,OF,2,2,4,0,1,2,1,1,2,0,0,a,2,1,0,0,0,1212,1
7,8,MemResp,3,8,7,7,0,YF,2,1,2,0,2,2,1,1,2,0,0,a,2,1,0,0,0,1064,1
8,9,MemResp,3,9,8,8,0,YF,2,1,2,0,3,2,1,1,2,0,0,a,2,1,0,0,0,725,1
9,10,MemResp,3,10,9,9,0,YM,1,1,1,1,3,2,1,1,2,0,0,a,2,1,0,0,0,667,1
10,11,MemResp,3,11,10,10,0,YM,1,1,1,2,3,2,1,1,2,0,0,a,2,1,0,0,0,839,1
11,12,MemResp,3,12,11,11,0,OM,1,2,11,2,3,2,1,1,2,1,0,a,1,0,1,0,0,677,1
12,13,MemResp,3,13,12,12,0,OF,2,2,4,2,3,2,2,1,2,1,0,a,2,1,0,0,0,586,1
13,14,MemResp,3,14,13,13,0,OF,2,2,4,2,3,2,3,1,2,1,0,a,2,1,0,0,0,581,1
14,15,MemResp,3,15,14,14,0,OF,2,2,4,2,3,2,4,1,2,1,0,a,2,1,0,0,0,592,1
15,16,MemResp,3,16,15,15,0,YM,1,1,1,3,3,2,4,1,2,1,0,a,2,1,0,0,0,862,1
16,17,MemResp,3,17,16,16,0,YF,2,1,2,3,4,2,4,1,2,1,0,a,2,1,0,0,0,742,1
17,18,MemResp,3,18,17,17,0,YF,2,1,10,3,4,2,4,1,3,1,0,l,1,0,0,1,0,854,1
18,19,MemResp,3,19,18,18,0,YM,1,1,1,4,4,2,4,1,3,1,0,k,2,0,0,0,1,1620,1
19,20,MemResp,3,20,19,19,0,OF,2,2,4,4,4,2,5,1,3,1,0,a,2,1,0,0,0,1057,1
20,21,MemResp,3,21,20,20,0,YF,2,1,2,4,5,2,5,1,3,1,0,k,2,0,0,0,1,1444,1
21,22,MemResp,3,22,21,21,0,OM,1,2,3,4,5,3,5,1,3,1,0,a,2,1,0,0,0,818,1
22,23,MemResp,3,23,22,22,0,YF,2,1,2,4,6,3,5,1,3,1,0,a,2,1,0,0,0,701,1
23,24,MemResp,3,24,23,23,0,YF,2,1,2,4,7,3,5,1,3,1,0,a,2,1,0,0,0,658,1
24,25,MemResp,3,25,24,24,0,OM,1,2,3,4,7,4,5,1,3,1,0,a,2,1,0,0,0,877,1
25,26,MemResp,3,26,25,25,0,OM,1,2,3,4,7,5,5,1,3,1,0,a,2,1,0,0,0,706,1
26,27,MemResp,3,27,26,26,0,OM,1,2,3,4,7,6,5,1,3,1,0,a,2,1,0,0,0,809,1
27,28,MemResp,3,28,27,27,0,YF,2,1,2,4,8,6,5,1,3,1,0,a,2,1,0,0,0,675,1
28,29,MemResp,3,29,28,28,0,YM,1,1,1,5,8,6,5,1,3,1,0,a,2,1,0,0,0,740,1
29,30,MemResp,3,30,29,29,0,OF,2,2,12,5,8,6,5,1,3,1,1,k,1,0,0,1,0,791,1
30,31,MemResp,3,31,30,30,0,YF,2,1,2,5,9,6,5,1,3,1,1,a,2,1,0,0,0,795,1
31,32,MemResp,3,32,31,31,0,OF,2,2,4,5,9,6,6,1,3,1,1,a,2,1,0,0,0,646,1
32,33,MemResp,3,33,32,32,0,OM,1,2,3,5,9,7,6,1,3,1,1,a,2,1,0,0,0,629,1
33,34,MemResp,3,34,33,33,0,OF,2,2,4,5,9,7,7,1,3,1,1,a,2,1,0,0,0,718,1
34,35,MemResp,3,35,34,34,0,OM,1,2,3,5,9,8,7,1,3,1,1,k,2,0,0,0,1,891,1
35,36,MemResp,3,36,35,35,0,YF,2,1,2,5,10,8,7,1,3,1,1,a,2,1,0,0,0,759,1
36,37,MemResp,3,37,36,36,0,OF,2,2,4,5,10,8,8,1,3,1,1,k,2,0,0,0,1,867,1
37,38,MemResp,3,38,37,37,0,YF,2,1,10,5,10,8,8,1,4,1,1,k,1,0,0,1,0,795,1
38,39,MemResp,3,39,38,38,0,YM,1,1,1,6,10,8,8,1,4,1,1,a,2,1,0,0,0,871,1
39,40,MemResp,3,40,39,39,0,OF,2,2,4,6,10,8,9,1,4,1,1,a,2,1,0,0,0,761,1
40,41,MemResp,3,41,40,40,0,YF,2,1,2,6,11,8,9,1,4,1,1,k,2,0,0,0,1,968,1
41,42,MemResp,3,42,41,41,0,OF,2,2,4,6,11,8,10,1,4,1,1,a,2,1,0,0,0,765,1
42,43,MemResp,3,43,42,42,0,YM,1,1,1,7,11,8,10,1,4,1,1,a,2,1,0,0,0,1053,1
43,44,MemResp,3,44,43,43,0,OM,1,2,3,7,11,9,10,1,4,1,1,a,2,1,0,0,0,976,1
44,45,MemResp,3,45,44,44,0,YF,2,1,2,7,12,9,10,1,4,1,1,k,2,0,0,0,1,836,1
45,46,MemResp,3,46,45,45,0,OF,2,2,12,7,12,9,10,1,4,1,2,k,1,0,0,1,0,946,1
46,47,MemResp,3,47,46,46,0,OM,1,2,3,7,12,10,10,1,4,1,2,a,2,1,0,0,0,806,1
47,48,MemResp,3,48,47,47,0,OF,2,2,12,7,12,10,10,1,4,1,3,k,1,0,0,1,0,1012,1
48,49,MemResp,3,49,48,48,0,YF,2,1,10,7,12,10,10,1,5,1,3,a,1,0,1,0,0,849,1
49,50,MemResp,3,50,49,49,0,YF,2,1,2,7,13,10,10,1,5,1,3,a,2,1,0,0,0,838,1
50,51,MemResp,3,51,50,50,0,OF,2,2,12,7,13,10,10,1,5,1,4,k,1,0,0,1,0,980,1
51,52,MemResp,3,52,51,51,0,YM,1,1,1,8,13,10,10,1,5,1,4,a,2,1,0,0,0,809,1
52,53,MemResp,3,53,52,52,0,YF,2,1,2,8,14,10,10,1,5,1,4,a,2,1,0,0,0,925,1
53,54,MemResp,3,54,53,53,0,YM,1,1,9,8,14,10,10,2,5,1,4,k,1,0,0,1,0,748,1
54,55,MemResp,3,55,54,54,0,YM,1,1,1,9,14,10,10,2,5,1,4,k,2,0,0,0,1,1094,1
55,56,MemResp,3,56,55,55,0,OM,1,2,3,9,14,11,10,2,5,1,4,a,2,1,0,0,0,1178,1
