,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,PositiveTransfer,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
29,30,MemResp,1,30,29,29,0,OF,2,2,0,12,6,3,5,8,1,1,2,4,l,1,0,0,1,0,1156,49
30,31,MemResp,1,31,30,30,0,YM,1,1,0,1,7,3,5,8,1,1,2,4,s,2,1,0,0,0,1257,49
31,32,MemResp,1,32,31,31,0,YF,2,1,0,10,7,3,5,8,1,2,2,4,l,1,0,0,1,0,1318,49
32,33,MemResp,1,33,32,32,0,YM,1,1,0,9,7,3,5,8,2,2,2,4,k,1,0,0,1,0,1445,49
33,34,MemResp,1,34,33,33,0,OF,2,2,0,12,7,3,5,8,2,2,2,5,k,1,0,0,1,0,1048,49
34,35,MemResp,1,35,34,34,0,YM,1,1,0,9,7,3,5,8,3,2,2,5,k,1,0,0,1,0,1356,49
35,36,MemResp,1,36,35,35,0,OF,2,2,0,4,7,3,5,9,3,2,2,5,k,2,0,0,0,1,1321,49
36,37,MemResp,1,37,36,36,0,YM,1,1,0,1,8,3,5,9,3,2,2,5,a,2,1,0,0,0,1606,49
37,38,MemResp,1,38,37,37,0,OM,1,2,1,3,8,3,6,9,3,2,2,5,s,2,1,0,0,0,1219,49
38,39,MemResp,1,39,38,38,0,OF,2,2,0,4,8,3,6,10,3,2,2,5,s,2,1,0,0,0,1027,49
39,40,MemResp,1,40,39,39,0,YM,1,1,0,9,8,3,6,10,4,2,2,5,k,1,0,0,1,0,1453,49
40,41,MemResp,1,41,40,40,0,YF,2,1,1,2,8,4,6,10,4,2,2,5,a,2,1,0,0,0,1307,49
41,42,MemResp,1,42,41,41,0,YF,2,1,0,10,8,4,6,10,4,3,2,5,l,1,0,0,1,0,1470,49
42,43,MemResp,1,43,42,42,0,YF,2,1,1,2,8,5,6,10,4,3,2,5,l,2,0,0,0,1,1180,49
43,44,MemResp,1,44,43,43,0,OM,1,2,1,3,8,5,7,10,4,3,2,5,s,2,1,0,0,0,1459,49
44,45,MemResp,1,45,44,44,0,OF,2,2,0,4,8,5,7,11,4,3,2,5,k,2,0,0,0,1,1669,49
45,46,MemResp,1,46,45,45,0,YF,2,1,1,2,8,6,7,11,4,3,2,5,a,2,1,0,0,0,1178,49
46,47,MemResp,1,47,46,46,0,OM,1,2,1,3,8,6,8,11,4,3,2,5,k,2,0,0,0,1,1607,49
47,48,MemResp,1,48,47,47,0,YM,1,1,0,1,9,6,8,11,4,3,2,5,a,2,1,0,0,0,956,49
48,49,MemResp,1,49,48,48,0,YF,2,1,1,2,9,7,8,11,4,3,2,5,s,2,1,0,0,0,1161,49
49,50,MemResp,1,50,49,49,0,OM,1,2,1,3,9,7,9,11,4,3,2,5,s,2,1,0,0,0,1344,49
50,51,MemResp,1,51,50,50,0,YM,1,1,0,1,10,7,9,11,4,3,2,5,a,2,1,0,0,0,859,49
51,52,MemResp,1,52,51,51,0,YM,1,1,0,1,11,7,9,11,4,3,2,5,a,2,1,0,0,0,1136,49
52,53,MemResp,1,53,52,52,0,YF,2,1,1,2,11,8,9,11,4,3,2,5,s,2,1,0,0,0,1141,49
53,54,MemResp,1,54,53,53,0,YF,2,1,1,2,11,9,9,11,4,3,2,5,k,2,0,0,0,1,1242,49
54,55,MemResp,1,55,54,54,0,YM,1,1,0,1,12,9,9,11,4,3,2,5,a,2,1,0,0,0,1271,49
