,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,PressCorrect,Accuracy,RT,ResponseMatrix,subject
121,466,SourceMemShapeResp,6,122,35,121,1,NL,2,7,1,24,23,22,23,9,4,8,9,a,a,1,733,1,57
122,467,SourceMemShapeResp,6,123,36,122,1,MS,1,15,1,24,23,22,23,9,4,9,9,s,0,0,1427,0,57
123,468,SourceMemShapeResp,6,124,37,123,1,NS,2,5,1,24,24,22,23,9,4,9,9,s,a,0,1414,1,57
124,469,SourceMemShapeResp,6,125,38,124,1,ML,2,11,1,24,24,23,23,9,4,9,9,a,a,1,1259,1,57
125,470,SourceMemShapeResp,6,126,39,125,1,NL,2,4,1,25,24,23,23,9,4,9,9,s,s,1,1488,2,57
126,471,SourceMemShapeResp,6,127,40,126,1,ML,2,5,1,25,24,24,23,9,4,9,9,a,a,1,998,2,57
127,472,SourceMemShapeResp,6,128,41,127,1,MS,2,5,4,25,24,24,24,9,4,9,9,s,a,0,781,2,57
128,473,SourceMemShapeResp,6,129,42,128,1,NL,1,5,4,25,24,24,24,9,5,9,9,s,0,0,1673,0,57
129,474,SourceMemShapeResp,6,130,43,129,1,NL,2,11,4,26,24,24,24,9,5,9,9,a,a,1,944,2,57
130,475,SourceMemShapeResp,6,131,44,130,1,NS,1,11,4,26,24,24,24,10,5,9,9,s,0,0,1072,0,57
131,476,SourceMemShapeResp,6,132,45,131,1,NL,2,14,4,27,24,24,24,10,5,9,9,a,s,0,1535,1,57
132,477,SourceMemShapeResp,6,133,46,132,1,MS,2,14,4,27,24,24,25,10,5,9,9,a,s,0,782,2,57
133,478,SourceMemShapeResp,6,134,47,133,1,NL,2,11,4,28,24,24,25,10,5,9,9,a,a,1,987,1,57
134,479,SourceMemShapeResp,6,135,48,134,1,NL,1,13,4,28,24,24,25,10,6,9,9,s,0,0,1329,0,57
135,480,SourceMemShapeResp,6,136,49,135,1,MS,2,8,4,28,24,24,26,10,6,9,9,s,s,1,1543,1,57
136,481,SourceMemShapeResp,6,137,50,136,1,ML,2,8,4,28,24,25,26,10,6,9,9,a,s,0,1160,2,57
137,482,SourceMemShapeResp,6,138,51,137,1,NL,1,16,4,28,24,25,26,10,7,9,9,s,0,0,1430,0,57
138,483,SourceMemShapeResp,6,139,52,138,1,NS,2,10,4,28,25,25,26,10,7,9,9,a,s,0,801,1,57
139,484,SourceMemShapeResp,6,140,53,139,1,MS,1,2,4,28,25,25,26,10,7,10,9,a,0,0,1614,0,57
140,485,SourceMemShapeResp,6,141,54,140,1,NL,2,2,4,29,25,25,26,10,7,10,9,a,s,0,1061,1,57
141,486,SourceMemShapeResp,6,142,55,141,1,MS,1,9,4,29,25,25,26,10,7,11,9,s,0,0,1155,0,57
142,487,SourceMemShapeResp,6,143,56,142,1,MS,2,9,2,29,25,25,27,10,7,11,9,a,a,1,672,2,57
143,488,SourceMemShapeResp,6,144,57,143,1,ML,1,4,2,29,25,25,27,10,7,11,10,s,0,0,1175,0,57
144,489,SourceMemShapeResp,6,145,58,144,1,ML,2,13,2,29,25,26,27,10,7,11,10,s,a,0,1062,2,57
145,490,SourceMemShapeResp,6,146,59,145,1,MS,2,13,3,29,25,26,28,10,7,11,10,a,a,1,1128,1,57
146,491,SourceMemShapeResp,6,147,60,146,1,ML,2,7,3,29,25,27,28,10,7,11,10,s,a,0,927,1,57
147,492,SourceMemShapeResp,6,148,61,147,1,NL,1,2,3,29,25,27,28,10,8,11,10,a,0,0,1085,0,57
148,493,SourceMemShapeResp,6,149,62,148,1,NS,2,3,3,29,26,27,28,10,8,11,10,s,a,0,1218,2,57
149,494,SourceMemShapeResp,6,150,63,149,1,NS,2,4,3,29,27,27,28,10,8,11,10,s,s,1,1000,2,57
150,495,SourceMemShapeResp,6,151,64,150,1,MS,2,11,3,29,27,27,29,10,8,11,10,a,a,1,712,1,57
151,496,SourceMemShapeResp,6,152,65,151,1,NS,2,6,3,29,28,27,29,10,8,11,10,a,s,0,975,2,57
152,497,SourceMemShapeResp,6,153,66,152,1,NS,1,6,3,29,28,27,29,11,8,11,10,s,0,0,1029,0,57
153,498,SourceMemShapeResp,6,154,67,153,1,MS,2,6,4,29,28,27,30,11,8,11,10,a,s,0,726,1,57
154,499,SourceMemShapeResp,6,155,68,154,1,NL,1,14,4,29,28,27,30,11,9,11,10,s,0,0,1572,0,57
155,500,SourceMemShapeResp,6,156,69,155,1,ML,2,12,4,29,28,28,30,11,9,11,10,a,s,0,525,1,57
156,501,SourceMemShapeResp,6,157,70,156,1,NL,1,13,4,29,28,28,30,11,10,11,10,a,0,0,1062,0,57
157,502,SourceMemShapeResp,6,158,71,157,1,NS,2,14,4,29,29,28,30,11,10,11,10,s,s,1,1413,1,57
158,503,SourceMemShapeResp,6,159,72,158,1,NS,2,14,1,29,30,28,30,11,10,11,10,s,s,1,1323,2,57
159,504,SourceMemShapeResp,6,160,73,159,1,ML,2,9,1,29,30,29,30,11,10,11,10,a,a,1,449,1,57
160,505,SourceMemShapeResp,6,161,74,160,1,NS,2,12,1,29,31,29,30,11,10,11,10,a,s,0,498,2,57
161,506,SourceMemShapeResp,6,162,75,161,1,NL,2,7,1,30,31,29,30,11,10,11,10,a,a,1,1077,1,57
162,507,SourceMemShapeResp,6,163,76,162,1,NL,1,7,4,30,31,29,30,11,11,11,10,s,0,0,1249,0,57
163,508,SourceMemShapeResp,6,164,77,163,1,ML,2,3,4,30,31,30,30,11,11,11,10,a,a,1,1236,1,57
164,509,SourceMemShapeResp,6,165,78,164,1,MS,2,4,4,30,31,30,31,11,11,11,10,a,s,0,690,2,57
165,510,SourceMemShapeResp,6,166,79,165,1,MS,2,12,4,30,31,30,32,11,11,11,10,s,s,1,1088,2,57
166,511,SourceMemShapeResp,6,167,80,166,1,ML,1,12,4,30,31,30,32,11,11,11,11,a,0,0,774,0,57
167,512,SourceMemShapeResp,6,168,81,167,1,NS,2,8,4,30,32,30,32,11,11,11,11,s,s,1,1084,2,57
168,513,SourceMemShapeResp,6,169,82,168,1,ML,2,2,4,30,32,31,32,11,11,11,11,a,s,0,1002,1,57
169,514,SourceMemShapeResp,6,170,83,169,1,ML,2,4,4,30,32,32,32,11,11,11,11,a,s,0,1057,1,57
