,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,PressCorrect,Accuracy,RT,ResponseMatrix,subject
81,254,SourceMemColorResp,2,82,81,81,0,NS,2,5,4,17,17,13,14,6,5,4,6,s,a,0,976,2,61
82,255,SourceMemColorResp,2,83,82,82,0,ML,1,11,4,17,17,13,14,6,5,4,7,s,0,0,1398,0,61
83,256,SourceMemColorResp,2,84,83,83,0,ML,2,11,3,17,17,14,14,6,5,4,7,s,s,1,1237,1,61
84,257,SourceMemColorResp,2,85,84,84,0,MS,2,14,3,17,17,14,15,6,5,4,7,s,a,0,580,1,61
85,258,SourceMemColorResp,2,86,85,85,0,MS,2,14,3,17,17,14,16,6,5,4,7,a,a,1,998,1,61
86,259,SourceMemColorResp,2,87,0,86,1,MS,1,10,3,17,17,14,16,6,5,5,7,s,0,0,505,0,61
87,260,SourceMemColorResp,2,88,1,87,1,ML,2,10,3,17,17,15,16,6,5,5,7,a,a,1,437,1,61
88,261,SourceMemColorResp,2,89,2,88,1,MS,2,14,3,17,17,15,17,6,5,5,7,s,a,0,569,1,61
89,262,SourceMemColorResp,2,90,3,89,1,MS,2,13,3,17,17,15,18,6,5,5,7,a,a,1,1075,2,61
90,263,SourceMemColorResp,2,91,4,90,1,MS,2,16,3,17,17,15,19,6,5,5,7,a,s,0,1043,1,61
91,264,SourceMemColorResp,2,92,5,91,1,MS,1,13,3,17,17,15,19,6,5,6,7,a,0,0,501,0,61
92,265,SourceMemColorResp,2,93,6,92,1,MS,2,13,1,17,17,15,20,6,5,6,7,a,a,1,713,1,61
93,266,SourceMemColorResp,2,94,7,93,1,MS,2,14,1,17,17,15,21,6,5,6,7,s,a,0,402,2,61
94,267,SourceMemColorResp,2,95,8,94,1,NS,2,7,1,17,18,15,21,6,5,6,7,s,s,1,1052,2,61
95,268,SourceMemColorResp,2,96,9,95,1,NL,2,3,1,18,18,15,21,6,5,6,7,a,s,0,651,2,61
96,269,SourceMemColorResp,2,97,10,96,1,ML,2,12,1,18,18,16,21,6,5,6,7,s,s,1,405,1,61
97,270,SourceMemColorResp,2,98,11,97,1,ML,2,9,1,18,18,17,21,6,5,6,7,a,a,1,471,2,61
98,271,SourceMemColorResp,2,99,12,98,1,NS,1,3,1,18,18,17,21,7,5,6,7,s,0,0,477,0,61
99,272,SourceMemColorResp,2,100,13,99,1,ML,1,3,4,18,18,17,21,7,5,6,8,s,0,0,819,0,61
100,273,SourceMemColorResp,2,101,14,100,1,NL,2,3,3,19,18,17,21,7,5,6,8,s,s,1,628,2,61
101,274,SourceMemColorResp,2,102,15,101,1,MS,1,7,3,19,18,17,21,7,5,7,8,s,0,0,468,0,61
102,275,SourceMemColorResp,2,103,16,102,1,NS,2,7,2,19,19,17,21,7,5,7,8,s,s,1,858,1,61
103,276,SourceMemColorResp,2,104,17,103,1,NS,2,6,2,19,20,17,21,7,5,7,8,a,a,1,1097,1,61
