,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,Mem,RT,Hit,FA,CR,Miss,subject
26,27,MemResp,3,27,26,26,0,NL,2,3,1,6,1,3,8,0,2,3,4,k,2,647,0,0,0,1,30
27,28,MemResp,3,28,27,27,0,NL,2,2,1,7,1,3,8,0,2,3,4,j,2,909,1,0,0,0,30
28,29,MemRespITI,3,29,28,28,0,NS,2,7,1,7,2,3,8,0,2,3,4,s,2,909,0,0,0,0,30
29,30,MemRespITI,3,30,29,29,0,NL,2,1,1,8,2,3,8,0,2,3,4,a,2,909,0,0,0,0,30
30,31,MemRespITI,3,31,30,30,0,NS,1,10,1,8,2,3,8,1,2,3,4,s,1,909,0,0,0,0,30
31,32,MemRespITI,3,32,31,31,0,NL,1,10,2,8,2,3,8,1,3,3,4,s,1,909,0,0,0,0,30
32,33,MemResp,3,33,32,32,0,ML,2,10,1,8,2,4,8,1,3,3,4,h,2,901,1,0,0,0,30
33,34,MemResp,3,34,33,33,0,NS,2,7,1,8,3,4,8,1,3,3,4,h,2,74,1,0,0,0,30
34,35,MemResp,3,35,34,34,0,ML,2,11,1,8,3,5,8,1,3,3,4,k,2,1155,0,0,0,1,30
35,36,MemResp,3,36,35,35,0,NL,2,1,1,9,3,5,8,1,3,3,4,h,2,1151,1,0,0,0,30
36,37,MemResp,3,37,36,36,0,ML,2,10,1,9,3,6,8,1,3,3,4,l,2,1396,0,0,0,1,30
37,38,MemResp,3,38,37,37,0,NS,1,5,1,9,3,6,8,2,3,3,4,h,1,1422,0,1,0,0,30
38,39,MemResp,3,39,38,38,0,NS,2,5,4,9,4,6,8,2,3,3,4,l,2,1025,0,0,0,1,30
39,40,MemResp,3,40,39,39,0,ML,2,11,4,9,4,7,8,2,3,3,4,l,2,1185,0,0,0,1,30
40,41,MemResp,3,41,40,40,0,ML,2,11,4,9,4,8,8,2,3,3,4,l,2,953,0,0,0,1,30
41,42,MemResp,3,42,41,41,0,NS,2,8,4,9,5,8,8,2,3,3,4,l,2,1240,0,0,0,1,30
42,43,MemResp,3,43,42,42,0,ML,1,14,4,9,5,8,8,2,3,3,5,k,1,1176,0,0,1,0,30
43,44,MemRespITI,3,44,43,43,0,NL,1,14,2,9,5,8,8,2,4,3,5,0,1,1176,0,0,0,0,30
44,45,MemResp,3,45,44,44,0,MS,2,14,1,9,5,8,9,2,4,3,5,k,2,1330,0,0,0,1,30
45,46,MemResp,3,46,45,45,0,NL,2,4,1,10,5,8,9,2,4,3,5,k,2,1597,0,0,0,1,30
46,47,MemResp,3,47,46,46,0,ML,2,9,1,10,5,9,9,2,4,3,5,j,2,610,1,0,0,0,30
47,48,MemRespITI,3,48,47,47,0,ML,2,9,1,10,5,10,9,2,4,3,5,a,2,610,0,0,0,0,30
48,49,MemResp,3,49,48,48,0,NS,1,5,1,10,5,10,9,3,4,3,5,j,1,1327,0,1,0,0,30
49,50,MemResp,3,50,49,49,0,NS,2,5,1,10,6,10,9,3,4,3,5,h,2,903,1,0,0,0,30
50,51,MemResp,3,51,50,50,0,NL,2,2,1,11,6,10,9,3,4,3,5,j,2,957,1,0,0,0,30
51,52,MemResp,3,52,51,51,0,NS,1,2,1,11,6,10,9,4,4,3,5,k,1,1529,0,0,1,0,30
52,53,MemRespITI,3,53,52,52,0,ML,1,2,4,11,6,10,9,4,4,3,6,s,1,1529,0,0,0,0,30
53,54,MemResp,3,54,53,53,0,NL,2,2,1,12,6,10,9,4,4,3,6,k,2,788,0,0,0,1,30
54,55,MemRespITI,3,55,54,54,0,NS,2,5,1,12,7,10,9,4,4,3,6,s,2,788,0,0,0,0,30
55,56,MemResp,3,56,55,55,0,NS,1,14,1,12,7,10,9,5,4,3,6,k,1,1453,0,0,1,0,30
56,57,MemRespITI,3,57,56,56,0,MS,2,14,1,12,7,10,10,5,4,3,6,s,2,1453,0,0,0,0,30
57,58,MemResp,3,58,57,57,0,ML,2,12,1,12,7,11,10,5,4,3,6,j,2,1157,1,0,0,0,30
58,59,MemResp,3,59,58,58,0,NS,2,5,1,12,8,11,10,5,4,3,6,j,2,963,1,0,0,0,30
59,60,MemResp,3,60,59,59,0,NS,1,16,1,12,8,11,10,6,4,3,6,k,1,1258,0,0,1,0,30
60,61,MemResp,3,61,60,60,0,MS,2,16,4,12,8,11,11,6,4,3,6,j,2,966,1,0,0,0,30
61,62,MemResp,3,62,61,61,0,ML,1,10,4,12,8,11,11,6,4,3,7,k,1,1296,0,0,1,0,30
62,63,MemResp,3,63,62,62,0,ML,2,10,3,12,8,12,11,6,4,3,7,k,2,1030,0,0,0,1,30
63,64,MemResp,3,64,63,63,0,MS,1,1,3,12,8,12,11,6,4,4,7,k,1,1954,0,0,1,0,30
64,65,MemResp,3,65,64,64,0,MS,1,1,3,12,8,12,11,6,4,5,7,k,1,956,0,0,1,0,30
65,66,MemRespITI,3,66,65,65,0,NL,2,1,2,13,8,12,11,6,4,5,7,a,2,956,0,0,0,0,30
66,67,MemRespITI,3,67,66,66,0,MS,2,13,2,13,8,12,12,6,4,5,7,s,2,956,0,0,0,0,30
67,68,MemRespITI,3,68,67,67,0,NL,2,4,2,14,8,12,12,6,4,5,7,0,2,956,0,0,0,0,30
68,69,MemResp,3,69,68,68,0,NS,2,7,2,14,9,12,12,6,4,5,7,k,2,935,0,0,0,1,30
69,70,MemResp,3,70,69,69,0,MS,2,13,2,14,9,12,13,6,4,5,7,k,2,801,0,0,0,1,30
70,71,MemRespITI,3,71,70,70,0,ML,2,11,2,14,9,13,13,6,4,5,7,a,2,801,0,0,0,0,30
71,72,MemResp,3,72,71,71,0,NL,2,3,2,15,9,13,13,6,4,5,7,h,2,1048,1,0,0,0,30
72,73,MemResp,3,73,72,72,0,MS,2,14,2,15,9,13,14,6,4,5,7,k,2,49,0,0,0,1,30
73,74,MemRespITI,3,74,73,73,0,ML,2,11,2,15,9,14,14,6,4,5,7,a,2,49,0,0,0,0,30
74,75,MemRespITI,3,75,74,74,0,NL,2,2,2,16,9,14,14,6,4,5,7,a,2,49,0,0,0,0,30
75,76,MemRespITI,3,76,75,75,0,NL,2,4,2,17,9,14,14,6,4,5,7,0,2,49,0,0,0,0,30
76,77,MemRespITI,3,77,76,76,0,MS,2,15,2,17,9,14,15,6,4,5,7,a,2,49,0,0,0,0,30
77,78,MemResp,3,78,77,77,0,ML,2,12,2,17,9,15,15,6,4,5,7,h,2,15,1,0,0,0,30
78,79,MemResp,3,79,78,78,0,ML,2,10,2,17,9,16,15,6,4,5,7,k,2,427,0,0,0,1,30
79,80,MemRespITI,3,80,79,79,0,NL,2,4,2,18,9,16,15,6,4,5,7,a,2,427,0,0,0,0,30
80,81,MemResp,3,81,80,80,0,MS,2,13,2,18,9,16,16,6,4,5,7,k,2,1597,0,0,0,1,30
81,82,MemResp,3,82,81,81,0,ML,2,9,2,18,9,17,16,6,4,5,7,h,2,866,1,0,0,0,30
82,83,MemResp,3,83,82,82,0,NS,2,8,2,18,10,17,16,6,4,5,7,j,2,1107,1,0,0,0,30
83,84,MemResp,3,84,83,83,0,NL,2,3,2,19,10,17,16,6,4,5,7,k,2,21,0,0,0,1,30
84,85,MemResp,3,85,84,84,0,ML,2,12,2,19,10,18,16,6,4,5,7,j,2,917,1,0,0,0,30
85,86,MemResp,3,86,85,85,0,MS,2,14,2,19,10,18,17,6,4,5,7,h,2,679,1,0,0,0,30
86,87,MemResp,3,87,0,86,1,NL,1,14,2,19,10,18,17,6,5,5,7,k,1,1365,0,0,1,0,30
87,88,MemResp,3,88,1,87,1,MS,2,14,3,19,10,18,18,6,5,5,7,k,2,1819,0,0,0,1,30
88,89,MemResp,3,89,2,88,1,MS,2,13,3,19,10,18,19,6,5,5,7,j,2,911,1,0,0,0,30
89,90,MemResp,3,90,3,89,1,MS,2,16,3,19,10,18,20,6,5,5,7,h,2,799,1,0,0,0,30
90,91,MemResp,3,91,4,90,1,ML,2,10,3,19,10,19,20,6,5,5,7,h,2,911,1,0,0,0,30
91,92,MemResp,3,92,5,91,1,NL,2,2,3,20,10,19,20,6,5,5,7,k,2,1393,0,0,0,1,30
92,93,MemResp,3,93,6,92,1,MS,1,1,3,20,10,19,20,6,5,6,7,k,1,762,0,0,1,0,30
93,94,MemRespITI,3,94,7,93,1,NL,2,1,3,21,10,19,20,6,5,6,7,s,2,762,0,0,0,0,30
94,95,MemResp,3,95,8,94,1,NL,2,2,3,22,10,19,20,6,5,6,7,k,2,795,0,0,0,1,30
95,96,MemResp,3,96,9,95,1,MS,1,16,3,22,10,19,20,6,5,7,7,k,1,825,0,0,1,0,30
96,97,MemRespITI,3,97,10,96,1,MS,2,16,2,22,10,19,21,6,5,7,7,a,2,825,0,0,0,0,30
97,98,MemResp,3,98,11,97,1,NL,2,2,2,23,10,19,21,6,5,7,7,j,2,893,1,0,0,0,30
98,99,MemResp,3,99,12,98,1,NL,1,13,2,23,10,19,21,6,6,7,7,h,1,761,0,1,0,0,30
99,100,MemRespITI,3,100,13,99,1,MS,2,13,2,23,10,19,22,6,6,7,7,s,2,761,0,0,0,0,30
100,101,MemResp,3,101,14,100,1,NL,1,9,2,23,10,19,22,6,7,7,7,l,1,591,0,0,1,0,30
101,102,MemResp,3,102,15,101,1,ML,2,9,4,23,10,20,22,6,7,7,7,k,2,1030,0,0,0,1,30
102,103,MemResp,3,103,16,102,1,NS,2,7,4,23,11,20,22,6,7,7,7,k,2,687,0,0,0,1,30
103,104,MemResp,3,104,17,103,1,NL,2,3,4,24,11,20,22,6,7,7,7,k,2,811,0,0,0,1,30
104,105,MemResp,3,105,18,104,1,NS,2,6,4,24,12,20,22,6,7,7,7,k,2,654,0,0,0,1,30
105,106,MemResp,3,106,19,105,1,NS,2,7,4,24,13,20,22,6,7,7,7,k,2,829,0,0,0,1,30
106,107,MemResp,3,107,20,106,1,ML,2,9,4,24,13,21,22,6,7,7,7,l,2,794,0,0,0,1,30
107,108,MemResp,3,108,21,107,1,ML,2,11,4,24,13,22,22,6,7,7,7,k,2,1362,0,0,0,1,30
108,109,MemResp,3,109,22,108,1,MS,2,15,4,24,13,22,23,6,7,7,7,k,2,772,0,0,0,1,30
109,110,MemResp,3,110,23,109,1,ML,2,12,4,24,13,23,23,6,7,7,7,k,2,777,0,0,0,1,30
110,111,MemResp,3,111,24,110,1,NL,2,4,4,25,13,23,23,6,7,7,7,k,2,882,0,0,0,1,30
111,112,MemResp,3,112,25,111,1,MS,2,15,4,25,13,23,24,6,7,7,7,k,2,815,0,0,0,1,30
112,113,MemResp,3,113,26,112,1,ML,2,12,4,25,13,24,24,6,7,7,7,h,2,702,1,0,0,0,30
113,114,MemResp,3,114,27,113,1,MS,2,16,4,25,13,24,25,6,7,7,7,l,2,840,0,0,0,1,30
114,115,MemResp,3,115,28,114,1,ML,1,1,4,25,13,24,25,6,7,7,8,h,1,202,0,1,0,0,30
115,116,MemResp,3,116,29,115,1,NS,1,1,1,25,13,24,25,7,7,7,8,k,1,823,0,0,1,0,30
116,117,MemResp,3,117,30,116,1,NL,2,1,4,26,13,24,25,7,7,7,8,k,2,848,0,0,0,1,30
117,118,MemResp,3,118,31,117,1,NS,2,6,4,26,14,24,25,7,7,7,8,k,2,838,0,0,0,1,30
118,119,MemResp,3,119,32,118,1,NS,2,8,4,26,15,24,25,7,7,7,8,k,2,772,0,0,0,1,30
119,120,MemResp,3,120,33,119,1,NS,2,6,4,26,16,24,25,7,7,7,8,k,2,779,0,0,0,1,30
120,121,MemResp,3,121,34,120,1,ML,1,3,4,26,16,24,25,7,7,7,9,k,1,765,0,0,1,0,30
121,122,MemResp,3,122,35,121,1,ML,1,3,4,26,16,24,25,7,7,7,10,k,1,841,0,0,1,0,30
122,123,MemResp,3,123,36,122,1,NS,1,3,1,26,16,24,25,8,7,7,10,l,1,559,0,0,1,0,30
123,124,MemResp,3,124,37,123,1,NL,1,3,2,26,16,24,25,8,8,7,10,k,1,650,0,0,1,0,30
124,125,MemResp,3,125,38,124,1,NL,2,3,3,27,16,24,25,8,8,7,10,k,2,774,0,0,0,1,30
125,126,MemResp,3,126,39,125,1,NS,2,5,3,27,17,24,25,8,8,7,10,k,2,969,0,0,0,1,30
