,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
104,105,MemResp,3,105,24,104,1,YM,1,1,1,19,19,19,22,7,7,7,5,l,2,0,0,0,1,538,49
105,106,MemResp,3,106,25,105,1,YM,1,1,1,20,19,19,22,7,7,7,5,k,2,0,0,0,1,503,49
106,107,MemResp,3,107,26,106,1,OM,1,2,3,20,19,20,22,7,7,7,5,l,2,0,0,0,1,516,49
107,108,MemResp,3,108,27,107,1,YF,2,1,2,20,20,20,22,7,7,7,5,k,2,0,0,0,1,853,49
108,109,MemResp,3,109,28,108,1,YF,2,1,2,20,21,20,22,7,7,7,5,l,2,0,0,0,1,718,49
109,110,MemResp,3,110,29,109,1,OM,1,2,3,20,21,21,22,7,7,7,5,a,2,1,0,0,0,753,49
110,111,MemResp,3,111,30,110,1,YF,2,1,2,20,22,21,22,7,7,7,5,k,2,0,0,0,1,720,49
111,112,MemResp,3,112,31,111,1,OF,2,2,12,20,22,21,22,7,7,7,6,s,1,0,1,0,0,1018,49
112,113,MemResp,3,113,32,112,1,OM,1,2,3,20,22,22,22,7,7,7,6,a,2,1,0,0,0,923,49
113,114,MemResp,3,114,33,113,1,OF,2,2,12,20,22,22,22,7,7,7,7,s,1,0,1,0,0,746,49
114,115,MemResp,3,115,34,114,1,YF,2,1,2,20,23,22,22,7,7,7,7,l,2,0,0,0,1,932,49
115,116,MemResp,3,116,35,115,1,YM,1,1,1,21,23,22,22,7,7,7,7,l,2,0,0,0,1,97,49
116,117,MemResp,3,117,36,116,1,OF,2,2,12,21,23,22,22,7,7,7,8,s,1,0,1,0,0,960,49
117,118,MemResp,3,118,37,117,1,OF,2,2,4,21,23,22,23,7,7,7,8,s,2,1,0,0,0,664,49
118,119,MemResp,3,119,38,118,1,OF,2,2,4,21,23,22,24,7,7,7,8,s,2,1,0,0,0,535,49
119,120,MemResp,3,120,39,119,1,OM,1,2,11,21,23,22,24,7,7,8,8,a,1,0,1,0,0,695,49
120,121,MemResp,3,121,40,120,1,OM,1,2,11,21,23,22,24,7,7,9,8,s,1,0,1,0,0,720,49
121,122,MemResp,3,122,41,121,1,OF,2,2,12,21,23,22,24,7,7,9,9,s,1,0,1,0,0,1054,49
122,123,MemResp,3,123,42,122,1,OM,1,2,3,21,23,23,24,7,7,9,9,a,2,1,0,0,0,781,49
123,124,MemResp,3,124,43,123,1,OM,1,2,3,21,23,24,24,7,7,9,9,s,2,1,0,0,0,648,49
124,125,MemResp,3,125,44,124,1,YM,1,1,9,21,23,24,24,8,7,9,9,l,1,0,0,1,0,786,49
125,126,MemResp,3,126,45,125,1,YF,2,1,10,21,23,24,24,8,8,9,9,k,1,0,0,1,0,643,49
126,127,MemResp,3,127,46,126,1,YF,2,1,2,21,24,24,24,8,8,9,9,l,2,0,0,0,1,531,49
127,128,MemResp,3,128,47,127,1,YM,1,1,1,22,24,24,24,8,8,9,9,k,2,0,0,0,1,541,49
128,129,MemResp,3,129,48,128,1,YF,2,1,2,22,25,24,24,8,8,9,9,l,2,0,0,0,1,647,49
129,130,MemResp,3,130,49,129,1,YF,2,1,10,22,25,24,24,8,9,9,9,k,1,0,0,1,0,497,49
130,131,MemResp,3,131,50,130,1,YM,1,1,9,22,25,24,24,9,9,9,9,l,1,0,0,1,0,515,49
131,132,MemResp,3,132,51,131,1,YF,2,1,2,22,26,24,24,9,9,9,9,k,2,0,0,0,1,631,49
132,133,MemResp,3,133,52,132,1,OM,1,2,3,22,26,25,24,9,9,9,9,s,2,1,0,0,0,742,49
133,134,MemResp,3,134,53,133,1,YM,1,1,1,23,26,25,24,9,9,9,9,a,2,1,0,0,0,718,49
134,135,MemResp,3,135,54,134,1,OM,1,2,3,23,26,26,24,9,9,9,9,a,2,1,0,0,0,693,49
135,136,MemResp,3,136,55,135,1,OF,2,2,4,23,26,26,25,9,9,9,9,a,2,1,0,0,0,677,49
136,137,MemResp,3,137,56,136,1,YM,1,1,1,24,26,26,25,9,9,9,9,k,2,0,0,0,1,993,49
137,138,MemResp,3,138,57,137,1,YF,2,1,2,24,27,26,25,9,9,9,9,l,2,0,0,0,1,556,49
