,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
53,53,Resp,3,54,53,53,0,11,15,13,15,3,OFN,3,3,n,n,1,645,1,46,1
54,54,Resp,3,55,54,54,0,11,16,13,15,1,YFN,1,1,v,v,1,657,1,47,1
55,55,Resp,3,56,55,55,0,11,16,14,15,4,OMN,4,2,b,b,1,700,1,48,1
56,56,Resp,3,57,56,56,0,11,16,15,15,4,OMN,4,2,b,b,1,826,1,49,1
57,57,Resp,3,58,57,57,0,12,16,15,15,2,YMN,2,4,m,m,1,591,1,50,1
58,58,Resp,3,59,58,58,0,12,16,15,16,3,OFN,3,3,n,n,1,690,1,51,1
59,59,Resp,3,60,59,59,0,12,17,15,16,1,YFN,1,1,v,v,1,866,1,52,1
60,60,Resp,3,61,60,60,0,12,18,15,16,1,YFN,1,1,v,v,1,575,1,53,1
61,61,Resp,3,62,61,61,0,12,18,16,16,4,OMN,4,2,b,b,1,664,1,54,1
62,62,Resp,3,63,62,62,0,12,18,17,16,4,OMN,4,2,b,b,1,517,1,55,1
63,63,Resp,3,64,63,63,0,12,19,17,16,1,YFN,1,1,v,v,1,608,1,56,1
64,64,Resp,3,65,64,64,0,12,20,17,16,1,YFN,1,1,v,v,1,532,1,57,1
65,65,Resp,3,66,65,65,0,13,20,17,16,2,YMN,2,4,m,m,1,635,1,58,1
66,66,Resp,3,67,66,66,0,13,21,17,16,1,YFN,1,1,v,v,1,560,1,59,1
67,67,Resp,3,68,67,67,0,13,21,18,16,4,OMN,4,2,b,b,1,610,1,60,1
68,68,Resp,3,69,68,68,0,13,21,18,17,3,OFN,3,3,n,n,1,682,1,61,1
69,69,Resp,3,70,69,69,0,13,22,18,17,1,YFN,1,1,v,v,1,534,1,62,1
70,70,Resp,3,71,70,70,0,13,22,18,18,3,OFN,3,3,n,n,1,690,1,63,1
71,71,Resp,3,72,71,71,0,13,22,19,18,4,OMN,4,2,b,v,0,548,2,63,1
72,72,Resp,3,73,72,72,0,14,22,19,18,2,YMN,2,4,m,m,1,653,1,64,1
73,73,Resp,3,74,73,73,0,15,22,19,18,2,YMN,2,4,m,m,1,925,1,65,1
74,74,Resp,3,75,74,74,0,15,22,20,18,4,OMN,4,2,b,n,0,1205,2,65,1
75,75,Resp,3,76,75,75,0,15,22,20,19,3,OFN,3,3,n,n,1,1062,1,66,1
76,76,Resp,3,77,76,76,0,15,22,21,19,4,OMN,4,2,b,b,1,733,1,67,1
77,77,Resp,3,78,77,77,0,15,22,22,19,4,OMN,4,2,b,b,1,556,1,68,1
78,78,Resp,3,79,78,78,0,15,23,22,19,1,YFN,1,1,v,v,1,606,1,69,1
79,79,Resp,3,80,79,79,0,15,23,22,20,3,OFN,3,3,n,n,1,690,1,70,1
80,80,Resp,3,81,80,80,0,15,23,23,20,4,OMN,4,2,b,b,1,884,1,71,1
81,81,Resp,3,82,81,81,0,16,23,23,20,2,YMN,2,4,m,m,1,695,1,72,1
82,82,Resp,3,83,82,82,0,16,24,23,20,1,YFN,1,1,v,v,1,636,1,73,1
83,83,Resp,3,84,83,83,0,16,24,23,21,3,OFN,3,3,n,n,1,1143,1,74,1
84,84,Resp,3,85,84,84,0,17,24,23,21,2,YMN,2,4,m,m,1,590,1,75,1
85,85,Resp,3,86,85,85,0,17,24,24,21,4,OMN,4,2,b,b,1,545,1,76,1
86,86,Resp,3,87,86,86,0,17,24,25,21,4,OMN,4,2,b,b,1,550,1,77,1
87,87,Resp,3,88,87,87,0,18,24,25,21,2,YMN,2,4,m,m,1,870,1,78,1
88,88,RespITI,3,89,88,88,0,19,24,25,21,2,YMN,2,4,m,0,0,870,3,78,1
89,89,Resp,3,90,89,89,0,19,24,25,22,3,OFN,3,3,n,n,1,584,1,79,1
90,90,Resp,3,91,90,90,0,19,24,26,22,4,OMN,4,2,b,b,1,559,1,80,1
91,91,Resp,3,92,91,91,0,20,24,26,22,2,YMN,2,4,m,m,1,534,1,81,1
92,92,Resp,3,93,92,92,0,21,24,26,22,2,YMN,2,4,m,m,1,677,1,82,1
93,93,Resp,3,94,93,93,0,22,24,26,22,2,YMN,2,4,m,m,1,981,1,83,1
94,94,Resp,3,95,94,94,0,23,24,26,22,2,YMN,2,4,m,m,1,712,1,84,1
95,95,Resp,3,96,95,95,0,23,25,26,22,1,YFN,1,1,v,v,1,558,1,85,1
96,96,Resp,3,97,96,96,0,23,26,26,22,1,YFN,1,1,v,m,0,1028,2,85,1
97,97,Resp,3,98,97,97,0,24,26,26,22,2,YMN,2,4,m,m,1,667,1,86,1
98,98,Resp,3,99,98,98,0,24,26,27,22,4,OMN,4,2,b,b,1,676,1,87,1
99,99,Resp,3,100,99,99,0,24,26,27,23,3,OFN,3,3,n,n,1,640,1,88,1
100,100,Resp,3,101,100,100,0,25,26,27,23,2,YMN,2,4,m,m,1,675,1,89,1
101,101,Resp,3,102,101,101,0,25,26,27,24,3,OFN,3,3,n,n,1,582,1,90,1
102,102,Resp,3,103,102,102,0,26,26,27,24,2,YMN,2,4,m,m,1,635,1,91,1
103,103,Resp,3,104,103,103,0,26,27,27,24,1,YFN,1,1,v,v,1,587,1,92,1
104,104,Resp,3,105,104,104,0,26,27,27,25,3,OFN,3,3,n,n,1,681,1,93,1
105,105,Resp,3,106,105,105,0,26,28,27,25,1,YFN,1,1,v,v,1,666,1,94,1
106,106,Resp,3,107,106,106,0,26,28,28,25,4,OMN,4,2,b,b,1,663,1,95,1
107,107,Resp,3,108,107,107,0,27,28,28,25,2,YMN,2,4,m,m,1,709,1,96,1
108,108,Resp,3,109,108,108,0,27,28,28,26,3,OFN,3,3,n,b,0,893,2,96,1
109,109,Resp,3,110,109,109,0,28,28,28,26,2,YMN,2,4,m,m,1,590,1,97,1
110,110,Resp,3,111,110,110,0,28,28,28,27,3,OFN,3,3,n,n,1,642,1,98,1
111,111,Resp,3,112,111,111,0,29,28,28,27,2,YMN,2,4,m,m,1,627,1,99,1
112,112,Resp,3,113,112,112,0,29,28,28,28,3,OFN,3,3,n,n,1,821,1,100,1
113,113,Resp,3,114,113,113,0,29,28,28,29,3,OFN,3,3,n,n,1,922,1,101,1
114,114,Resp,3,115,114,114,0,30,28,28,29,2,YMN,2,4,m,m,1,671,1,102,1
115,115,Resp,3,116,115,115,0,30,28,29,29,4,OMN,4,2,b,b,1,599,1,103,1
116,116,Resp,3,117,116,116,0,30,28,29,30,3,OFN,3,3,n,n,1,581,1,104,1
117,117,Resp,3,118,117,117,0,30,29,29,30,1,YFN,1,1,v,v,1,543,1,105,1
118,118,Resp,3,119,118,118,0,30,29,30,30,4,OMN,4,2,b,b,1,632,1,106,1
119,119,Resp,3,120,119,119,0,30,30,30,30,1,YFN,1,1,v,v,1,784,1,107,1
0,0,RespITI,4,1,0,0,0,0,1,0,0,1,YFN,1,1,v,0,0,,3,0,2
1,1,Resp,4,2,1,1,0,0,1,0,1,2,OFN,3,4,m,n,0,693,2,0,2
2,2,Resp,4,3,2,2,0,0,2,0,1,1,YFN,1,1,v,b,0,627,2,0,2
3,3,Resp,4,4,3,3,0,1,2,0,1,3,YMN,2,3,n,v,0,757,2,0,2
4,4,Resp,4,5,4,4,0,1,3,0,1,1,YFN,1,1,v,v,1,704,1,1,2
5,5,Resp,4,6,5,5,0,2,3,0,1,3,YMN,2,3,n,b,0,924,2,1,2
6,6,Resp,4,7,6,6,0,2,4,0,1,1,YFN,1,1,v,v,1,506,1,2,2
7,7,Resp,4,8,7,7,0,2,5,0,1,1,YFN,1,1,v,v,1,765,1,3,2
8,8,Resp,4,9,8,8,0,2,6,0,1,1,YFN,1,1,v,v,1,696,1,4,2
