,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
0,0,Resp,2,1,0,0,0,1,0,0,0,3,YMN,2,3,n,n,1,1060,1,1,7
1,1,Resp,2,2,1,1,0,1,0,1,0,4,OMN,4,4,m,m,1,730,1,2,7
2,2,Resp,2,3,2,2,0,2,0,1,0,3,YMN,2,3,n,n,1,705,1,3,7
3,3,Resp,2,4,3,3,0,2,0,2,0,4,OMN,4,4,m,m,1,784,1,4,7
4,4,Resp,2,5,4,4,0,2,0,2,1,2,OFN,3,2,b,v,0,951,2,4,7
5,5,Resp,2,6,5,5,0,3,0,2,1,3,YMN,2,3,n,n,1,790,1,5,7
6,6,Resp,2,7,6,6,0,4,0,2,1,3,YMN,2,3,n,n,1,775,1,6,7
7,7,Resp,2,8,7,7,0,4,0,2,2,2,OFN,3,2,b,b,1,854,1,7,7
8,8,Resp,2,9,8,8,0,5,0,2,2,3,YMN,2,3,n,n,1,927,1,8,7
9,9,Resp,2,10,9,9,0,5,1,2,2,1,YFN,1,1,v,v,1,871,1,9,7
10,10,Resp,2,11,10,10,0,5,2,2,2,1,YFN,1,1,v,v,1,621,1,10,7
11,11,Resp,2,12,11,11,0,5,2,3,2,4,OMN,4,4,m,m,1,876,1,11,7
12,12,Resp,2,13,12,12,0,6,2,3,2,3,YMN,2,3,n,n,1,843,1,12,7
13,13,Resp,2,14,13,13,0,6,2,3,3,2,OFN,3,2,b,b,1,787,1,13,7
14,14,Resp,2,15,14,14,0,7,2,3,3,3,YMN,2,3,n,n,1,801,1,14,7
15,15,Resp,2,16,15,15,0,7,3,3,3,1,YFN,1,1,v,v,1,830,1,15,7
16,16,Resp,2,17,16,16,0,7,3,4,3,4,OMN,4,4,m,m,1,808,1,16,7
