,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,PositiveTransfer,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
50,50,Resp,3,51,50,50,0,11,14,13,13,2,YMN,0,2,4,m,m,1,910,1,41,2
51,51,RespITI,3,52,51,51,0,11,14,13,14,3,OFN,0,3,3,n,0,0,910,3,41,2
52,52,Resp,3,53,52,52,0,12,14,13,14,2,YMN,0,2,4,m,m,1,787,1,42,2
53,53,Resp,3,54,53,53,0,13,14,13,14,2,YMN,0,2,4,m,m,1,959,1,43,2
54,54,Resp,3,55,54,54,0,13,15,13,14,1,YFN,1,1,1,v,v,1,571,1,44,2
55,55,Resp,3,56,55,55,0,13,15,14,14,4,OMN,1,4,2,b,b,1,436,1,45,2
56,56,Resp,3,57,56,56,0,13,16,14,14,1,YFN,1,1,1,v,v,1,915,1,46,2
57,57,Resp,3,58,57,57,0,13,16,14,15,3,OFN,0,3,3,n,n,1,853,1,47,2
58,58,Resp,3,59,58,58,0,13,16,14,16,3,OFN,0,3,3,n,n,1,631,1,48,2
59,59,Resp,3,60,59,59,0,13,16,14,17,3,OFN,0,3,3,n,n,1,525,1,49,2
60,60,Resp,3,61,60,60,0,14,16,14,17,2,YMN,0,2,3,n,m,0,678,2,49,2
61,61,Resp,3,62,61,61,0,15,16,14,17,2,YMN,0,2,3,n,m,0,500,2,49,2
62,62,Resp,3,63,62,62,0,15,16,14,18,3,OFN,0,3,4,m,n,0,780,2,49,2
63,63,Resp,3,64,63,63,0,16,16,14,18,2,YMN,0,2,3,n,v,0,1112,2,49,2
64,64,Resp,3,65,64,64,0,17,16,14,18,2,YMN,0,2,3,n,b,0,480,2,49,2
65,65,Resp,3,66,65,65,0,17,17,14,18,1,YFN,1,1,1,v,v,1,700,1,50,2
66,66,Resp,3,67,66,66,0,17,17,15,18,4,OMN,1,4,2,b,b,1,598,1,51,2
67,67,Resp,3,68,67,67,0,17,17,15,19,3,OFN,0,3,4,m,b,0,775,2,51,2
68,68,Resp,3,69,68,68,0,17,17,15,20,3,OFN,0,3,4,m,n,0,868,2,51,2
69,69,Resp,3,70,69,69,0,17,18,15,20,1,YFN,1,1,1,v,v,1,901,1,52,2
70,70,Resp,3,71,70,70,0,17,18,16,20,4,OMN,1,4,2,b,b,1,678,1,53,2
